experiment_id,category,eval_lang,problem_type,model_type,vectorization,model,dataset_size,use_description,train_lang,f1_averaged,f1_all,hyperparameters,model_parameters,timestamp,dataset_type
toy_pairwise_svm_small_cooc_all_en,toy,en,pairwise,baseline,cooc,svm,small,True,en,0.8211310215267317,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-03-14,
toy_pairwise_svm_small_cooc_all_en,toy,es,pairwise,baseline,cooc,svm,small,True,en,0.265138154027043,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-03-15,
toy_pairwise_svm_small_cooc_all_en,toy,fr,pairwise,baseline,cooc,svm,small,True,en,0.2217603290574945,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-03-15,
toy_pairwise_svm_small_cooc_all_en-de,toy,de,pairwise,baseline,cooc,svm,small,True,en-de,0.221152834138298,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-04-10,
toy_pairwise_svm_small_cooc_all_en-de+de,toy,de,pairwise,baseline,cooc,svm,small,True,"en-de, de",0.8120108153057068,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-05-59,
toy_pairwise_svm_small_cooc_all_en-es,toy,es,pairwise,baseline,cooc,svm,small,True,en-es,0.5666895092983019,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-04-44,
toy_pairwise_svm_small_cooc_all_en-fr,toy,fr,pairwise,baseline,cooc,svm,small,True,en-fr,0.6732393521745321,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-05-18,
toy_pairwise_svm_small_cooc_title_en-de,toy,de,pairwise,baseline,cooc,svm,small,False,en-de,0.6610449735449736,,"{'class_weight': 'balanced', 'C': 100}",,22-03-2021 20-22-31,
toy_pairwise_svm_small_cooc_title_en-de+de,toy,de,pairwise,baseline,cooc,svm,small,False,"en-de, de",0.7735342704004138,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-23-19,
toy_pairwise_svm_small_cooc_title_en-es,toy,es,pairwise,baseline,cooc,svm,small,False,en-es,0.5644444444444445,,"{'class_weight': 'balanced', 'C': 100}",,22-03-2021 20-22-46,
toy_pairwise_svm_small_cooc_title_en-fr,toy,fr,pairwise,baseline,cooc,svm,small,False,en-fr,0.5973337632553944,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 20-23-00,
toy_pairwise_svm_small_magellan_all_de,toy,de,pairwise,baseline,magellan,svm,small,True,de,0.6410173433025652,,"{'class_weight': 'balanced', 'C': 0.001}",,22-03-2021 20-14-09,
toy_pairwise_svm_small_magellan_all_en,toy,de,pairwise,baseline,magellan,svm,small,True,en,0.6180730180249128,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-13-34,
toy_pairwise_svm_small_magellan_all_en,toy,en,pairwise,baseline,magellan,svm,small,True,en,0.6228064942107564,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-13-33,
toy_pairwise_svm_small_magellan_all_en,toy,es,pairwise,baseline,magellan,svm,small,True,en,0.5032868916797488,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-13-36,
toy_pairwise_svm_small_magellan_all_en,toy,fr,pairwise,baseline,magellan,svm,small,True,en,0.4797228839782031,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-13-38,
toy_pairwise_svm_small_magellan_all_en-de,toy,de,pairwise,baseline,magellan,svm,small,True,en-de,0.6403035487125499,,"{'class_weight': 'balanced', 'C': 1}",,22-03-2021 20-14-30,
toy_pairwise_svm_small_magellan_all_en-de+de,toy,de,pairwise,baseline,magellan,svm,small,True,"en-de, de",0.639527429251763,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 20-15-48,
toy_pairwise_svm_small_magellan_all_en-es,toy,es,pairwise,baseline,magellan,svm,small,True,en-es,0.4926695488446238,,"{'class_weight': 'balanced', 'C': 0.1}",,22-03-2021 20-14-54,
toy_pairwise_svm_small_magellan_all_en-fr,toy,fr,pairwise,baseline,magellan,svm,small,True,en-fr,0.4784574985411398,,"{'class_weight': 'balanced', 'C': 0.01}",,22-03-2021 20-15-20,
toy_pairwise_svm_small_magellan_title_de,toy,de,pairwise,baseline,magellan,svm,small,False,de,0.5726191324168388,,"{'class_weight': 'balanced', 'C': 100}",,22-03-2021 20-26-21,
toy_pairwise_svm_small_magellan_title_en,toy,de,pairwise,baseline,magellan,svm,small,False,en,0.585018352360827,,"{'class_weight': 'balanced', 'C': 100}",,22-03-2021 20-26-01,
toy_pairwise_svm_small_magellan_title_en,toy,en,pairwise,baseline,magellan,svm,small,False,en,0.4966835492662076,,"{'class_weight': 'balanced', 'C': 100}",,22-03-2021 20-25-59,
toy_pairwise_svm_small_magellan_title_en,toy,es,pairwise,baseline,magellan,svm,small,False,en,0.5850694444444444,,"{'class_weight': 'balanced', 'C': 100}",,22-03-2021 20-26-02,
toy_pairwise_svm_small_magellan_title_en,toy,fr,pairwise,baseline,magellan,svm,small,False,en,0.5160802500252042,,"{'class_weight': 'balanced', 'C': 100}",,22-03-2021 20-26-04,
toy_pairwise_svm_small_magellan_title_en-de,toy,de,pairwise,baseline,magellan,svm,small,False,en-de,0.6139678306525543,,"{'class_weight': 'balanced', 'C': 100}",,22-03-2021 20-26-37,
toy_pairwise_svm_small_magellan_title_en-de+de,toy,de,pairwise,baseline,magellan,svm,small,False,"en-de, de",0.6373054040028383,,"{'class_weight': 'balanced', 'C': 10}",,22-03-2021 20-27-25,
toy_pairwise_svm_small_magellan_title_en-es,toy,es,pairwise,baseline,magellan,svm,small,False,en-es,0.5305212083991938,,"{'class_weight': 'balanced', 'C': 0.001}",,22-03-2021 20-26-51,
